65;91
232;94
65;91
232;94
97;43
65;94
65;94
188;30
188;94
180;85
232;94
97;54
97;98
257;112
188;30
234;112
234;153
234;56
97;53
257;75
97;96
236;94
68;95
257;43
68;100
180;116
68;45
34;91
34;94
180;96
240;13
144;83
236;91
68;130
179;21
1;6
236;91
238;135
1;75
144;132
179;39
68;83
34;91
238;13
20;76
20;154
240;135
179;90
20;131
240;40
179;128
20;26
1;78
193;135
20;48
64;48
41;116
41;54
20;116
20;40
173;16
144;87
41;153
20;7
238;81
64;136
173;96
39;83
219;95
3;131
219;85
41;79
64;47
3;76
95;128
283;78
283;131
193;16
219;45
87;100
95;29
193;13
64;18
87;26
283;16
145;140
39;138
283;154
95;135
145;98
95;83
226;26
139;34
95;13
39;131
145;78
139;34
173;45
173;95
21;83
39;54
216;154
39;76
21;21
224;26
283;76
118;91
216;83
87;40
118;94
139;91
226;6
139;34
139;91
21;81
201;43
39;85
77;153
139;34
77;39
162;34
118;94
226;108
201;13
118;91
139;91
224;39
248;135
77;8
77;56
216;150
166;45
130;18
130;128
248;78
7;154
3;54
99;53
185;147
168;128
150;91
99;130
168;40
224;4
4;147
185;78
162;34
216;16
119;130
44;130
130;9
4;16
172;128
150;30
201;9
248;9
44;56
166;53
7;76
166;95
102;45
172;29
44;34
119;7
185;16
185;153
4;128
168;153
43;54
201;135
7;131
162;47
248;13
172;81
165;136
162;81
259;54
119;76
66;15
80;48
259;83
24;153
80;87
259;117
262;108
66;45
102;154
80;128
265;53
99;39
80;43
6;39
6;136
6;153
66;26
172;108
43;85
102;95
6;26
265;39
150;94
43;26
80;154
165;81
6;120
165;43
265;69
40;38
265;96
119;131
6;96
190;131
148;154
155;108
205;87
24;128
24;55
2;16
265;108
45;8
155;130
26;30
148;135
45;132
6;47
43;153
190;81
211;39
2;56
262;26
119;29
43;130
262;96
208;152
190;40
40;16
258;32
94;135
8;56
262;132
208;154
258;26
148;13
262;79
273;96
155;29
35;4
30;128
190;78
176;85
190;76
94;138
89;65
155;84
30;108
205;45
8;81
211;96
269;98
208;101
26;94
40;47
273;26
176;48
35;34
91;29
26;94
222;128
89;96
211;130
2;118
116;118
176;78
211;96
71;21
30;40
281;45
45;140
91;43
94;153
176;69
269;16
116;43
161;39
167;135
101;130
8;138
89;69
161;100
35;23
222;132
196;120
281;138
269;81
258;83
101;55
152;136
273;53
167;48
225;128
116;136
161;153
71;76
225;85
54;65
222;48
272;18
278;18
198;30
89;32
214;90
214;29
214;128
205;95
54;43
71;131
152;34
278;53
214;26
161;116
101;81
54;69
152;128
218;156
91;81
147;96
189;47
128;18
225;65
281;95
116;18
189;53
281;98
101;100
278;69
278;9
54;96
147;70
79;81
278;96
17;43
101;81
